Over,Run Rate-Pakistan,Run Rate-Sri Lanka,Required Run Rate-Sri Lanka
1,0.0,0.0,0.0
2,5.0,2.0,5.63
3,6.5,1.0,5.75
4,4.329999999999999,2.66,5.740000000000001
5,5.0,3.25,5.759999999999999
6,5.6000000000000005,3.1999999999999997,5.82
7,5.16,4.329999999999999,5.72
8,6.0,4.0,5.81
9,5.87,3.6200000000000006,5.920000000000001
10,6.55,3.8799999999999994,5.920000000000001
11,6.5,4.2,5.8999999999999995
12,6.0,4.36,5.89
13,6.079999999999999,5.329999999999999,5.63
14,5.84,5.23,5.670000000000001
15,5.57,5.14,5.72
16,5.259999999999999,5.2,5.71
17,5.12,5.12,5.759999999999999
18,5.23,5.05,5.81
19,5.11,4.88,5.93
20,5.36,4.78,6.03
21,5.25,4.75,6.1000000000000005
22,5.04,4.57,6.27
23,4.95,4.45,6.420000000000001
24,4.91,4.52,6.44
25,4.87,4.41,6.61
26,4.920000000000001,4.36,6.759999999999999
27,4.88,4.23,7.0
28,4.88,4.14,7.21
29,5.07,4.14,7.36
30,5.170000000000001,4.0,7.71
31,5.13,3.9600000000000004,7.950000000000001
32,5.03,4.12,7.89
33,5.0,4.06,8.22
34,4.96,4.06,8.47
35,5.0,4.11,8.62
36,4.97,4.25,8.6
37,4.91,4.41,8.5
38,5.0,4.509999999999999,8.53
39,5.07,4.44,9.08
40,5.2,4.46,9.450000000000001
41,5.22,4.45,10.0
42,5.19,4.43,10.659999999999998
43,5.19,4.5,11.12
44,5.2,4.72,10.71
45,5.13,4.79,11.159999999999998
46,5.259999999999999,4.95,11.0
47,5.21,5.04,11.5
48,5.21,5.14,12.0
49,5.41,5.18,14.5
50,5.4399999999999995,5.3,18.0
