Over,Run Rate-India,Run Rate-England,Required Run Rate-England
1,0.0,0.0,0.0
2,8.0,8.0,6.75
3,8.0,9.5,6.659999999999999
4,6.0,7.659999999999999,6.72
5,5.25,6.25,6.82
6,5.6000000000000005,5.6000000000000005,6.909999999999999
7,5.5,6.0,6.880000000000001
8,6.28,7.0,6.740000000000001
9,5.75,6.37,6.8500000000000005
10,6.0,7.0,6.730000000000001
11,5.8,7.7,6.55
12,5.45,7.54,6.56
13,5.5,7.159999999999999,6.6499999999999995
14,5.920000000000001,7.1499999999999995,6.64
15,5.5,7.21,6.61
16,5.6000000000000005,7.13,6.62
17,5.619999999999999,6.87,6.730000000000001
18,5.64,6.519999999999999,6.8999999999999995
19,5.77,6.55,6.8999999999999995
20,5.73,6.730000000000001,6.8
21,5.549999999999999,6.6000000000000005,6.8999999999999995
22,5.52,6.57,6.93
23,5.72,6.45,7.03
24,5.6899999999999995,6.47,7.03
25,5.54,6.5,7.03
26,5.6000000000000005,6.519999999999999,7.04
27,5.53,6.420000000000001,7.159999999999999
28,5.88,6.37,7.259999999999999
29,5.89,6.5,7.13
30,6.170000000000001,6.55,7.090000000000001
31,6.03,6.53,7.1499999999999995
32,6.12,6.45,7.31
33,5.93,6.46,7.329999999999999
34,5.96,6.54,7.230000000000001
35,5.88,6.730000000000001,6.87
36,5.88,6.769999999999999,6.8
37,6.079999999999999,6.829999999999999,6.64
38,6.18,6.75,6.840000000000001
39,6.1000000000000005,6.71,7.0
40,6.2,6.740000000000001,6.8999999999999995
41,6.170000000000001,6.8,6.7
42,6.119999999999999,6.78,6.769999999999999
43,6.2299999999999995,6.659999999999999,7.37
44,6.44,6.53,8.28
45,6.38,6.43,9.33
46,6.480000000000001,6.37,10.4
47,6.63,6.45,10.5
48,6.68,6.480000000000001,11.33
49,6.81,6.45,14.5
50,6.71,6.63,14.0
