Over,Run Rate-Zimbabwe,Run Rate-Canada,Required Run Rate-Canada
1,0.0,0.0,0.0
2,1.0,0.0,6.1000000000000005
3,3.0,0.5,6.200000000000001
4,2.33,0.66,6.31
5,3.0,0.75,6.43
6,3.1999999999999997,1.4000000000000001,6.480000000000001
7,3.16,1.16,6.63
8,3.14,1.14,6.759999999999999
9,4.12,1.0,6.920000000000001
10,3.77,1.55,6.95
11,4.3999999999999995,1.4000000000000001,7.12
12,4.61,1.36,7.28
13,4.75,2.08,7.21
14,4.61,2.53,7.18
15,4.420000000000001,2.35,7.38
16,4.86,2.3300000000000005,7.54
17,4.75,2.3700000000000006,7.670000000000001
18,4.759999999999999,2.35,7.840000000000002
19,4.66,2.5,7.93
20,4.84,2.52,8.090000000000002
21,5.1000000000000005,2.4499999999999997,8.33
22,5.28,2.3799999999999994,8.58
23,5.36,2.77,8.5
24,5.47,2.9499999999999997,8.549999999999999
25,5.62,2.8700000000000006,8.840000000000002
26,5.88,2.8799999999999994,9.08
27,6.07,2.9600000000000004,9.25
28,6.14,2.8799999999999994,9.6
29,6.14,2.82,10.0
30,6.170000000000001,2.72,10.47
31,6.1000000000000005,2.66,10.950000000000001
32,6.03,2.74,11.26
33,6.03,2.7100000000000004,11.769999999999998
34,5.87,2.81,12.11
35,5.91,2.82,12.68
36,5.8500000000000005,2.77,13.460000000000003
37,5.91,2.8000000000000003,14.14
38,5.829999999999999,2.86,14.840000000000002
39,5.759999999999999,2.86,15.83
40,5.69,2.8700000000000006,17.0
41,5.72,2.85,18.5
42,5.8,2.9499999999999997,19.77
43,5.73,2.92,22.0
44,5.670000000000001,,
45,5.72,,
46,5.68,,
47,5.78,,
48,5.95,,
49,5.87,,
50,5.89,,
