Over,Run Rate-West Indies,Run Rate-Netherlands,Required Run Rate-Netherlands
1,0.0,0.0,0.0
2,12.0,1.0,6.730000000000001
3,7.0,1.0,6.8500000000000005
4,4.66,1.33,6.95
5,5.5,1.25,7.079999999999999
6,5.0,3.0,7.019999999999999
7,5.0,3.5,7.04
8,4.8500000000000005,3.85,7.06
9,5.75,4.25,7.07
10,5.329999999999999,3.8799999999999994,7.21
11,6.299999999999999,3.6,7.37
12,6.72,3.36,7.53
13,6.409999999999999,3.16,7.71
14,6.2299999999999995,3.0,7.89
15,6.28,3.14,7.97
16,6.329999999999999,3.4,8.0
17,6.18,3.25,8.200000000000001
18,5.880000000000001,3.17,8.39
19,5.77,3.0500000000000003,8.62
20,5.84,2.94,8.87
21,5.6499999999999995,3.0,9.03
22,5.66,3.0,9.24
23,5.54,3.09,9.39
24,5.86,3.17,9.549999999999999
25,5.79,3.08,9.88
26,5.64,3.1200000000000006,10.12
27,5.46,3.23,10.29
28,5.37,3.3700000000000006,10.43
29,5.170000000000001,3.39,10.72
30,5.37,3.68,10.659999999999998
31,5.43,3.7599999999999993,10.9
32,5.41,3.7000000000000006,11.36
33,5.28,,
34,5.27,,
35,5.32,,
36,5.420000000000001,,
37,5.4399999999999995,,
38,5.37,,
39,5.5,,
40,5.87,,
41,5.97,,
42,6.14,,
43,6.21,,
44,6.27,,
45,6.34,,
46,6.3500000000000005,,
47,6.450000000000001,,
48,6.53,,
49,6.519999999999999,,
50,6.61,,
