Over,Run Rate-Kenya,Run Rate-Sri Lanka,Required Run Rate-Sri Lanka
1,0.0,0.0,0.0
2,3.0,5.0,2.81
3,4.0,5.5,2.75
4,4.329999999999999,7.659999999999999,2.5500000000000003
5,3.5,7.75,2.43
6,4.3999999999999995,8.4,2.24
7,3.8299999999999996,8.5,2.09
8,3.85,9.28,1.8100000000000003
9,3.5,9.0,1.6899999999999997
10,3.66,8.769999999999998,1.5600000000000003
11,3.4,8.1,1.55
12,3.4499999999999997,8.090000000000002,1.38
13,3.25,7.579999999999999,1.36
14,3.15,7.38,1.2699999999999998
15,3.0,7.420000000000001,1.08
16,2.86,7.329999999999999,0.9399999999999998
17,2.81,7.119999999999999,0.8499999999999999
18,2.82,7.170000000000001,0.63
19,3.0500000000000003,7.83,0.06
20,3.0,,
21,3.15,,
22,3.19,,
23,3.31,,
24,3.3000000000000003,,
25,3.16,,
26,3.1999999999999997,,
27,3.19,,
28,3.14,,
29,3.17,,
30,3.1999999999999997,,
31,3.3000000000000003,,
32,3.25,,
33,3.2100000000000004,,
34,3.240000000000001,,
35,3.23,,
36,3.22,,
37,3.3000000000000003,,
38,3.2899999999999996,,
39,3.23,,
40,3.17,,
41,3.17,,
42,3.1200000000000006,,
43,3.2599999999999993,,
44,3.18,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
