Over,Run Rate-England,Run Rate-Ireland,Required Run Rate-Ireland
1,0.0,0.0,0.0
2,7.0,2.0,6.6499999999999995
3,5.5,5.0,6.62
4,7.329999999999999,3.3299999999999996,6.759999999999999
5,6.75,5.0,6.69
6,6.8,5.2,6.71
7,6.659999999999998,5.329999999999999,6.72
8,6.57,6.0,6.6499999999999995
9,6.25,5.62,6.730000000000001
10,6.659999999999999,5.88,6.7
11,7.2,6.2,6.6499999999999995
12,7.0,5.72,6.79
13,7.079999999999999,5.329999999999999,6.94
14,6.840000000000002,5.07,7.079999999999999
15,6.57,4.8500000000000005,7.22
16,7.13,5.06,7.200000000000001
17,6.87,5.37,7.11
18,6.519999999999999,5.29,7.21
19,6.329999999999999,5.11,7.37
20,6.21,5.05,7.480000000000001
21,6.1000000000000005,5.1000000000000005,7.53
22,6.0,4.8999999999999995,7.75
23,5.8999999999999995,4.77,7.96
24,6.0,4.78,8.07
25,5.95,4.62,8.340000000000002
26,5.759999999999999,4.52,8.6
27,5.84,4.73,8.54
28,5.8500000000000005,5.11,8.26
29,5.75,5.32,8.13
30,5.6499999999999995,5.37,8.19
31,5.829999999999999,5.53,8.1
32,5.740000000000001,5.380000000000001,8.47
33,5.8999999999999995,5.71,8.049999999999999
34,6.0,5.81,8.0
35,6.02,6.02,7.68
36,6.02,6.34,7.06
37,5.97,6.36,7.07
38,6.05,6.56,6.53
39,6.130000000000001,6.519999999999998,6.659999999999998
40,6.170000000000001,6.46,6.8999999999999995
41,6.420000000000001,6.57,6.5
42,6.509999999999999,6.63,6.22
43,6.519999999999999,6.54,6.62
44,6.46,6.480000000000001,7.0
45,6.54,6.54,6.659999999999999
46,6.53,6.509999999999999,7.0
47,6.5,6.54,6.75
48,6.63,6.55,6.659999999999999
49,6.56,6.579999999999999,6.0
50,6.480000000000001,6.63,3.0
