Over,Run Rate-Pakistan,Run Rate-Canada,Required Run Rate-Canada
1,0.0,0.0,0.0
2,4.0,4.0,3.6900000000000004
3,6.5,5.0,3.64
4,5.329999999999999,4.329999999999999,3.6499999999999995
5,4.0,4.0,3.6700000000000004
6,4.0,3.1999999999999997,3.75
7,4.5,3.5,3.72
8,4.0,3.0,3.81
9,4.25,2.8700000000000006,3.85
10,4.7700000000000005,2.77,3.9
11,4.3999999999999995,2.5,4.0
12,4.09,2.4499999999999997,4.05
13,4.16,2.5,4.07
14,4.3,2.69,4.05
15,4.14,2.57,4.13
16,4.46,2.66,4.14
17,4.5,2.56,4.23
18,4.23,2.58,4.27
19,4.22,2.66,4.28
20,4.1000000000000005,2.57,4.38
21,3.9499999999999997,2.5,4.5
22,3.8999999999999995,2.57,4.509999999999999
23,3.77,2.5399999999999996,4.6000000000000005
24,3.9499999999999997,2.82,4.44
25,3.91,2.91,4.420000000000001
26,3.9600000000000004,2.9600000000000004,4.44
27,4.0,3.0,4.45
28,3.9600000000000004,2.92,4.6000000000000005
29,3.9200000000000004,2.92,4.68
30,3.89,3.06,4.57
31,3.8299999999999996,3.06,4.6499999999999995
32,3.8700000000000006,3.06,4.73
33,3.93,3.06,4.829999999999999
34,4.03,3.1499999999999995,4.759999999999999
35,4.02,3.11,4.93
36,4.0,3.17,4.93
37,4.16,3.1299999999999994,5.14
38,4.29,3.0800000000000005,5.46
39,4.34,3.2800000000000002,5.0
40,4.3500000000000005,3.329999999999999,5.0
41,4.37,3.27,5.3999999999999995
42,4.41,3.2100000000000004,5.880000000000001
43,4.3,3.23,6.12
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
