Over,Run Rate-Zimbabwe,Run Rate-New Zealand,Required Run Rate-New Zealand
1,0.0,0.0,0.0
2,1.0,14.0,3.0399999999999996
3,3.5,8.0,3.06
4,3.3299999999999996,6.329999999999999,3.06
5,3.0,5.25,3.08
6,3.4,5.8,2.97
7,3.8299999999999996,5.66,2.93
8,3.85,5.14,2.9499999999999997
9,3.3700000000000006,4.75,2.97
10,3.11,4.44,3.0
11,3.0,4.1000000000000005,3.0500000000000003
12,3.09,3.9,3.07
13,3.16,4.41,2.89
14,3.23,4.38,2.86
15,3.28,4.21,2.8799999999999994
16,3.06,4.53,2.7100000000000004
17,3.18,4.5,2.67
18,3.41,4.47,2.6299999999999994
19,3.5,4.329999999999999,2.65
20,3.52,4.1499999999999995,2.6999999999999997
21,3.75,4.1000000000000005,2.6999999999999997
22,3.7599999999999993,4.38,2.44
23,3.72,4.27,2.4600000000000004
24,3.73,4.34,2.3300000000000005
25,3.6200000000000006,4.5,2.11
26,3.48,4.44,2.08
27,3.4200000000000004,4.61,1.7899999999999998
28,3.2899999999999996,4.66,1.5999999999999999
29,3.17,4.64,1.5
30,3.1,4.72,1.2300000000000002
31,3.1299999999999994,4.73,1.05
32,3.1200000000000006,4.740000000000001,0.84
33,3.28,4.84,0.44
34,3.2400000000000007,4.9,0.05000000000000001
35,3.1999999999999997,,
36,3.1999999999999997,,
37,3.3000000000000003,,
38,3.2899999999999996,,
39,3.2599999999999993,,
40,3.1999999999999997,,
41,3.22,,
42,3.2400000000000007,,
43,3.3799999999999994,,
44,3.5099999999999993,,
45,3.56,,
46,3.48,,
47,3.52,,
48,,,
49,,,
50,,,
