Over,Run Rate-Bangladesh,Run Rate-West Indies,Required Run Rate-West Indies
1,0.0,0.0,0.0
2,4.0,2.0,1.16
3,6.5,1.5,1.16
4,5.0,4.0,1.0
5,4.0,4.25,0.91
6,5.0,5.8,0.66
7,5.0,4.829999999999999,0.6799999999999999
8,4.57,5.28,0.5099999999999999
9,4.37,5.25,0.39999999999999997
10,4.0,5.22,0.29
11,4.0,4.8999999999999995,0.25
12,4.18,5.0,0.09999999999999999
13,3.91,4.83,0.02
14,3.7599999999999993,,
15,3.64,,
16,3.4,,
17,3.5,,
18,3.2899999999999996,,
19,3.16,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
