Over,Run Rate-Kenya,Run Rate-New Zealand,Required Run Rate-New Zealand
1,0.0,0.0,0.0
2,2.0,5.0,1.32
3,2.0,6.5,1.18
4,2.0,6.659999999999999,1.0600000000000003
5,1.75,7.5,0.8600000000000001
6,1.8,8.799999999999999,0.57
7,2.0,8.83,0.37999999999999995
8,2.0,8.28,0.27
9,2.8700000000000006,,
10,3.22,,
11,3.3000000000000003,,
12,3.18,,
13,3.3299999999999996,,
14,3.07,,
15,3.14,,
16,3.1999999999999997,,
17,3.06,,
18,2.94,,
19,2.94,,
20,3.1,,
21,2.9499999999999997,,
22,2.9499999999999997,,
23,3.0399999999999996,,
24,2.95,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
