Over,Run Rate-England,Run Rate-South Africa,Required Run Rate-South Africa
1,0.0,0.0,0.0
2,3.0,5.0,3.4
3,4.0,3.0,3.4499999999999997
4,2.66,4.0,3.4
5,3.5,4.75,3.32
6,3.0,5.3999999999999995,3.22
7,3.5,4.829999999999999,3.25
8,3.0,4.14,3.32
9,2.8700000000000006,4.37,3.2599999999999993
10,3.5500000000000003,4.11,3.2899999999999996
11,3.3000000000000003,4.1000000000000005,3.27
12,3.27,3.9,3.3000000000000003
13,3.66,4.0,3.2599999999999993
14,3.61,4.38,3.1
15,3.64,4.5,3.02
16,3.3999999999999995,4.53,2.97
17,3.56,4.37,3.0
18,3.82,4.41,2.93
19,3.77,4.44,2.8700000000000006
20,3.84,4.31,2.9
21,3.8000000000000003,4.2,2.93
22,3.8000000000000003,4.04,3.0
23,3.77,4.0,3.0
24,3.73,4.04,2.92
25,3.6999999999999997,4.0,2.92
26,3.8799999999999994,4.12,2.76
27,3.84,4.07,2.75
28,3.9200000000000004,3.9600000000000004,2.82
29,3.9200000000000004,3.82,2.9499999999999997
30,3.86,3.89,2.8000000000000003
31,3.8299999999999996,3.93,2.6999999999999997
32,3.6999999999999997,3.8999999999999995,2.68
33,3.75,3.8700000000000006,2.66
34,3.69,3.75,2.82
35,3.6999999999999997,3.6700000000000004,2.93
36,3.8000000000000003,3.6,3.06
37,3.75,3.52,3.2100000000000004
38,3.72,3.43,3.4600000000000004
39,3.65,3.47,3.3299999999999996
40,3.7400000000000007,3.56,3.0
41,3.72,3.5500000000000003,3.0
42,3.65,3.48,3.22
43,3.69,3.57,2.75
44,3.7400000000000007,3.5300000000000002,2.8500000000000005
45,3.68,3.5,3.0
46,3.6399999999999997,3.48,3.0
47,,3.4499999999999997,3.25
48,,3.48,2.66
49,,,
50,,,
