Over,Run Rate-Ireland,Run Rate-India,Required Run Rate-India
1,0.0,0.0,0.0
2,1.0,9.0,4.06
3,2.5,5.0,4.12
4,3.66,4.0,4.170000000000001
5,2.75,4.5,4.13
6,2.1999999999999997,4.8,4.079999999999999
7,2.5,4.0,4.18
8,2.85,4.28,4.13
9,2.6200000000000006,4.12,4.16
10,2.8799999999999994,4.11,4.170000000000001
11,2.6999999999999997,4.3,4.12
12,2.5399999999999996,4.0,4.2
13,2.66,4.25,4.13
14,3.07,4.53,4.02
15,3.14,4.420000000000001,4.05
16,3.1299999999999994,4.3999999999999995,4.05
17,3.18,4.31,4.079999999999999
18,3.41,4.170000000000001,4.1499999999999995
19,4.05,4.38,4.03
20,4.05,4.36,4.03
21,4.1000000000000005,4.3500000000000005,4.03
22,4.09,4.28,4.06
23,4.09,4.31,4.03
24,4.340000000000001,4.3,4.03
25,4.579999999999999,4.25,4.07
26,4.72,4.28,4.04
27,4.61,4.19,4.12
28,4.509999999999999,4.29,4.0
29,4.420000000000001,4.21,4.09
30,4.44,4.13,4.19
31,4.36,4.0,4.3999999999999995
32,4.32,4.09,4.259999999999999
33,4.34,4.06,4.329999999999999
34,4.420000000000001,4.0,4.47
35,4.32,4.079999999999999,4.31
36,4.28,4.11,4.259999999999999
37,4.19,4.079999999999999,4.3500000000000005
38,4.32,4.05,4.46
39,4.34,4.1499999999999995,4.16
40,4.23,4.1499999999999995,4.18
41,4.3,4.170000000000001,4.1000000000000005
42,4.259999999999999,4.46,2.77
43,4.23,4.47,2.5
44,4.2,4.41,2.57
45,4.18,4.36,2.66
46,4.170000000000001,4.420000000000001,1.8
47,4.23,,
48,4.27,,
49,,,
50,,,
