Over,Run Rate-Kenya,Run Rate-Canada,Required Run Rate-Canada
1,0.0,0.0,0.0
2,0.0,7.0,3.91
3,0.0,4.0,3.97
4,1.0,3.0,4.04
5,1.75,4.75,3.91
6,1.4000000000000001,4.6000000000000005,3.91
7,2.83,4.0,3.97
8,3.0,3.4200000000000004,4.06
9,3.8700000000000006,3.75,4.02
10,3.77,4.0,3.97
11,3.6999999999999997,4.1000000000000005,3.9499999999999997
12,3.72,4.27,3.89
13,3.8299999999999996,4.66,3.7599999999999993
14,3.69,4.61,3.75
15,3.85,4.3500000000000005,3.8299999999999996
16,3.8000000000000003,4.329999999999999,3.82
17,3.8700000000000006,4.06,3.94
18,3.6999999999999997,3.94,4.0
19,3.61,4.0,3.9600000000000004
20,3.4200000000000004,3.84,4.06
21,3.65,3.75,4.13
22,3.66,3.66,4.2
23,3.5399999999999996,3.77,4.14
24,3.52,3.86,4.07
25,3.5,3.8299999999999996,4.11
26,3.48,4.04,3.9200000000000004
27,3.4200000000000004,4.07,3.8700000000000006
28,3.5500000000000003,3.9600000000000004,4.0
29,3.7100000000000004,4.14,3.77
30,3.72,4.03,3.9
31,3.66,3.9,4.1000000000000005
32,3.6999999999999997,3.8700000000000006,4.1499999999999995
33,3.78,4.09,3.77
34,3.84,4.06,3.82
35,3.7599999999999993,4.0,3.93
36,3.77,4.05,3.8000000000000003
37,3.75,4.0,3.9200000000000004
38,3.78,3.97,4.0
39,3.73,4.1000000000000005,3.5799999999999996
40,3.7599999999999993,4.1499999999999995,3.36
41,3.8700000000000006,4.12,3.4
42,3.9499999999999997,4.240000000000001,2.77
43,3.9499999999999997,4.14,3.1200000000000006
44,3.93,4.18,2.7100000000000004
45,3.8799999999999994,4.18,2.5
46,3.9699999999999998,4.22,1.8
47,3.97,,
48,3.93,,
49,3.91,,
50,3.93,,
