Over,Run Rate-New Zealand,Run Rate-Pakistan,Required Run Rate-Pakistan
1,0.0,0.0,0.0
2,8.0,5.0,6.079999999999999
3,4.5,3.5,6.16
4,5.329999999999999,4.329999999999999,6.170000000000001
5,5.0,3.25,6.3
6,4.2,3.1999999999999997,6.37
7,3.66,3.8299999999999996,6.36
8,4.28,3.28,6.509999999999999
9,4.25,3.3700000000000006,6.57
10,4.55,3.11,6.7
11,4.5,3.0,6.82
12,4.09,3.18,6.87
13,4.5,3.16,6.97
14,4.3,3.3799999999999994,7.0
15,4.57,3.2100000000000004,7.159999999999999
16,4.53,3.06,7.340000000000001
17,4.31,3.56,7.230000000000001
18,4.11,3.8799999999999994,7.18
19,4.0,3.8799999999999994,7.28
20,3.89,3.84,7.409999999999999
21,4.05,3.8000000000000003,7.56
22,3.9499999999999997,3.7599999999999993,7.72
23,4.13,3.77,7.8500000000000005
24,4.04,3.78,8.0
25,3.9499999999999997,3.8299999999999996,8.11
26,3.9600000000000004,3.72,8.4
27,3.8799999999999994,3.8000000000000003,8.5
28,3.9200000000000004,3.7400000000000007,8.78
29,3.9200000000000004,3.64,9.13
30,3.89,3.65,9.38
31,3.9600000000000004,3.6,9.75
32,4.06,3.6999999999999997,9.89
33,4.09,3.8700000000000006,9.94
34,4.09,3.84,10.35
35,4.02,3.8799999999999994,10.68
36,4.02,4.05,10.730000000000002
37,4.079999999999999,4.11,11.07
38,4.05,4.45,10.61
39,4.07,4.6000000000000005,10.659999999999998
40,4.1000000000000005,4.69,10.9
41,4.07,4.670000000000001,11.6
42,4.21,4.65,12.44
43,4.16,,
44,4.18,,
45,4.27,,
46,4.48,,
47,4.56,,
48,5.06,,
49,5.27,,
50,5.77,,
