Over,Run Rate-Netherlands,Run Rate-India,Required Run Rate-India
1,0.0,0.0,0.0
2,6.0,6.0,3.75
3,6.0,7.0,3.66
4,5.329999999999999,5.0,3.7199999999999998
5,4.5,7.5,3.4699999999999998
6,5.2,8.6,3.2599999999999993
7,4.329999999999999,8.159999999999998,3.1999999999999997
8,4.28,8.42,3.0399999999999996
9,4.12,9.12,2.78
10,3.77,8.88,2.68
11,3.8000000000000003,8.200000000000001,2.6999999999999997
12,3.9,7.63,2.7100000000000004
13,3.8299999999999996,7.0,2.78
14,3.61,6.69,2.78
15,3.78,6.71,2.66
16,3.73,6.6000000000000005,2.6
17,3.56,6.31,2.61
18,3.41,6.05,2.6299999999999994
19,3.3299999999999996,6.329999999999999,2.3700000000000006
20,3.36,6.47,2.16
21,3.5,6.3999999999999995,2.06
22,3.4200000000000004,6.23,2.03
23,3.4499999999999997,6.22,1.89
24,3.4699999999999998,6.04,1.8799999999999997
25,3.5,5.79,1.9600000000000002
26,3.36,5.6000000000000005,2.0
27,3.4600000000000004,5.5,1.95
28,3.59,5.3999999999999995,1.91
29,3.53,5.5,1.6299999999999997
30,3.44,5.579999999999999,1.33
31,3.3299999999999996,5.43,1.3499999999999999
32,3.25,5.38,1.21
33,3.18,5.28,1.16
34,3.15,5.1499999999999995,1.17
35,3.14,5.05,1.12
36,3.22,5.31,0.26
37,3.19,5.19,0.21
38,3.32,,
39,3.34,,
40,3.35,,
41,3.35,,
42,3.31,,
43,3.5,,
44,3.81,,
45,4.0,,
46,4.0,,
47,4.1,,
48,,,
49,,,
50,,,
