Over,Run Rate-Sri Lanka,Run Rate-Zimbabwe,Required Run Rate-Zimbabwe
1,0.0,0.0,0.0
2,6.0,7.0,6.55
3,12.0,7.0,6.54
4,11.0,6.659999999999999,6.55
5,8.75,6.0,6.6000000000000005
6,8.200000000000001,7.2,6.480000000000001
7,8.0,6.16,6.61
8,7.71,5.8500000000000005,6.670000000000001
9,7.25,5.25,6.8
10,7.11,5.329999999999999,6.82
11,7.7,5.7,6.769999999999999
12,7.63,6.27,6.64
13,7.329999999999999,5.91,6.759999999999999
14,6.759999999999999,5.84,6.81
15,6.5,6.07,6.75
16,6.13,5.86,6.8500000000000005
17,6.18,5.93,6.8500000000000005
18,6.23,6.05,6.81
19,6.05,5.88,6.93
20,5.84,5.84,7.0
21,5.700000000000001,5.8,7.06
22,5.759999999999999,5.71,7.170000000000001
23,5.68,5.68,7.25
24,5.78,5.52,7.44
25,5.62,5.5,7.53
26,5.72,5.48,7.64
27,5.84,5.38,7.829999999999999
28,5.77,5.509999999999999,7.78
29,5.71,5.420000000000001,8.0
30,5.62,5.34,8.230000000000002
31,5.53,5.2,8.6
32,5.670000000000001,5.25,8.68
33,5.75,5.1499999999999995,9.049999999999999
34,5.93,5.2700000000000005,9.049999999999999
35,6.02,5.2,9.43
36,6.079999999999999,5.2,9.730000000000002
37,6.02,5.079999999999999,10.35
38,5.97,5.0,11.0
39,5.84,4.86,11.909999999999998
40,5.79,,
41,5.82,,
42,5.95,,
43,6.160000000000001,,
44,6.25,,
45,6.31,,
46,6.31,,
47,6.32,,
48,6.380000000000001,,
49,6.409999999999998,,
50,6.44,,
