Over,Run Rate-West Indies,Run Rate-Ireland,Required Run Rate-Ireland
1,0.0,0.0,0.0
2,0.0,2.0,5.59
3,0.0,7.0,5.45
4,0.33,6.329999999999999,5.46
5,1.25,6.75,5.41
6,2.1999999999999997,7.0,5.3500000000000005
7,2.66,5.829999999999999,5.47
8,2.7100000000000004,5.14,5.579999999999999
9,2.5,4.5,5.71
10,2.44,4.44,5.75
11,2.8000000000000003,4.0,5.8999999999999995
12,2.81,3.72,6.02
13,3.16,3.5,6.1499999999999995
14,3.07,3.69,6.16
15,3.14,3.7100000000000004,6.22
16,3.3299999999999996,3.8000000000000003,6.25
17,3.25,4.0,6.2299999999999995
18,3.41,4.23,6.18
19,3.44,4.22,6.25
20,3.6299999999999994,4.21,6.32
21,3.6,4.25,6.36
22,3.57,4.09,6.55
23,3.5,4.13,6.6000000000000005
24,3.47,4.21,6.62
25,3.6200000000000006,4.2,6.730000000000001
26,3.56,4.079999999999999,6.96
27,3.53,4.3,6.829999999999999
28,3.7400000000000007,4.25,7.0
29,3.82,4.28,7.090000000000001
30,3.89,4.34,7.14
31,3.93,4.3999999999999995,7.2
32,4.06,4.45,7.259999999999999
33,4.06,4.46,7.38
34,3.9600000000000004,4.39,7.7
35,4.05,4.3500000000000005,8.0
36,4.05,4.48,7.93
37,4.27,4.52,8.07
38,4.48,4.78,7.61
39,4.63,4.6499999999999995,8.25
40,4.82,4.69,8.450000000000001
41,4.920000000000001,4.77,8.5
42,5.089999999999999,4.8,8.769999999999998
43,5.16,4.7299999999999995,9.62
44,5.16,4.6499999999999995,10.85
45,5.13,4.61,12.159999999999998
46,5.06,4.66,13.200000000000001
47,5.23,4.69,15.0
48,5.25,4.78,17.0
49,5.56,4.72,24.5
50,5.53,,
