Over,Run Rate-England,Run Rate-Bangladesh,Required Run Rate-Bangladesh
1,0.0,0.0,0.0
2,4.0,3.0,4.55
3,3.0,5.0,4.5
4,4.0,5.329999999999999,4.46
5,3.25,5.5,4.43
6,5.0,6.0,4.3500000000000005
7,4.5,6.0,4.31
8,4.420000000000001,6.57,4.18
9,4.37,6.25,4.19
10,4.11,5.88,4.21
11,3.6999999999999997,5.8,4.2
12,3.6299999999999994,5.8999999999999995,4.12
13,3.3299999999999996,5.75,4.13
14,3.3000000000000003,5.46,4.18
15,3.14,5.28,4.22
16,3.1299999999999994,5.0,4.31
17,3.06,5.18,4.2
18,3.17,5.170000000000001,4.18
19,3.0500000000000003,5.11,4.18
20,3.1,5.1499999999999995,4.12
21,3.1999999999999997,5.25,4.03
22,3.3299999999999996,5.28,3.9600000000000004
23,3.4,5.13,4.03
24,3.56,5.079999999999999,4.03
25,3.5799999999999996,5.0,4.07
26,3.759999999999999,4.920000000000001,4.12
27,3.8000000000000003,4.88,4.12
28,3.85,4.8500000000000005,4.13
29,3.9600000000000004,4.82,4.13
30,4.06,4.79,4.14
31,4.1000000000000005,4.96,3.85
32,4.06,5.0,3.73
33,4.12,4.87,3.8799999999999994
34,4.06,4.78,4.0
35,4.079999999999999,4.670000000000001,4.18
36,4.11,4.57,4.3999999999999995
37,4.079999999999999,4.5,4.57
38,4.21,4.48,4.61
39,4.23,4.36,5.0
40,4.170000000000001,4.3,5.27
41,4.22,4.25,5.6000000000000005
42,4.240000000000001,4.170000000000001,6.11
43,4.23,4.45,4.87
44,4.2,4.39,5.28
45,4.25,4.36,5.66
46,4.3999999999999995,4.28,6.6000000000000005
47,4.5,4.43,5.5
48,4.509999999999999,4.55,4.0
49,4.52,4.6000000000000005,2.5
50,4.46,,
