Over,Run Rate-India,Run Rate-South Africa,Required Run Rate-South Africa
1,0.0,0.0,0.0
2,4.0,4.0,5.97
3,4.5,5.5,5.95
4,7.659999999999998,4.0,6.06
5,6.75,3.75,6.13
6,6.6000000000000005,3.4,6.22
7,7.659999999999999,4.329999999999999,6.1499999999999995
8,8.14,4.14,6.23
9,8.75,4.62,6.19
10,8.549999999999999,4.55,6.240000000000001
11,8.700000000000001,4.3,6.3500000000000005
12,8.450000000000001,4.18,6.43
13,8.409999999999998,4.0,6.55
14,8.53,4.07,6.590000000000001
15,8.5,4.420000000000001,6.519999999999999
16,8.53,4.3999999999999995,6.6000000000000005
17,8.56,4.37,6.670000000000001
18,8.230000000000002,4.3500000000000005,6.75
19,8.0,4.329999999999999,6.840000000000001
20,7.840000000000001,4.420000000000001,6.87
21,7.75,4.45,6.93
22,7.61,4.420000000000001,7.03
23,7.450000000000001,4.45,7.1000000000000005
24,7.340000000000001,4.52,7.14
25,7.2,4.5,7.259999999999999
26,6.96,4.6000000000000005,7.28
27,7.07,4.6499999999999995,7.329999999999999
28,6.96,4.66,7.43
29,6.8500000000000005,4.6000000000000005,7.63
30,6.6499999999999995,4.579999999999999,7.8
31,6.56,4.8,7.6499999999999995
32,6.54,4.740000000000001,7.89
33,6.71,4.87,7.829999999999999
34,6.659999999999999,4.87,8.0
35,6.759999999999999,4.759999999999999,8.43
36,6.62,4.8500000000000005,8.46
37,6.579999999999999,4.8,8.85
38,6.56,4.94,8.76
39,6.6499999999999995,5.0,8.909999999999998
40,6.61,5.1499999999999995,8.72
41,6.7,5.45,7.8999999999999995
42,6.579999999999999,5.48,8.0
43,6.64,5.589999999999999,7.75
44,6.579999999999999,5.579999999999999,8.14
45,6.5,5.61,8.33
46,6.3999999999999995,5.57,9.200000000000001
47,6.34,5.670000000000001,9.0
48,6.23,5.6499999999999995,10.33
49,6.14,5.829999999999999,8.5
50,,5.79,13.0
