Over,Run Rate-Sri Lanka,Run Rate-Canada,Required Run Rate-Canada
1,0.0,0.0,0.0
2,3.0,0.0,6.79
3,5.0,3.0,6.81
4,4.66,2.66,6.909999999999999
5,4.5,3.0,6.97
6,5.2,2.4,7.13
7,4.66,2.66,7.2
8,4.71,2.28,7.37
9,4.62,2.1200000000000006,7.519999999999999
10,4.66,2.11,7.6499999999999995
11,5.3999999999999995,2.0,7.82
12,5.36,2.27,7.89
13,5.25,2.25,8.049999999999999
14,5.0,2.23,8.21
15,5.07,2.42,8.299999999999999
16,4.86,2.4,8.480000000000002
17,4.87,2.3700000000000006,8.67
18,4.88,2.41,8.840000000000002
19,4.77,2.33,9.090000000000002
20,4.63,2.31,9.32
21,4.6000000000000005,2.35,9.53
22,4.61,2.52,9.65
23,4.72,2.5,9.92
24,4.6499999999999995,2.69,10.03
25,4.660000000000001,2.83,10.19
26,4.88,2.72,10.6
27,4.8,2.8000000000000003,10.83
28,5.11,2.77,11.21
29,5.25,3.07,11.22
30,5.339999999999999,2.9600000000000004,11.760000000000002
31,5.5,3.16,11.9
32,5.670000000000001,3.2899999999999996,12.15
33,5.68,3.25,12.72
34,5.72,3.36,13.049999999999999
35,5.759999999999999,3.32,13.75
36,5.94,3.28,14.53
37,5.97,3.3000000000000003,15.28
38,6.18,,
39,6.21,,
40,6.2,,
41,6.170000000000001,,
42,6.240000000000001,,
43,6.3500000000000005,,
44,6.34,,
45,6.27,,
46,6.31,,
47,6.409999999999998,,
48,6.480000000000001,,
49,6.519999999999999,,
50,6.53,,
