Over,Run Rate-New Zealand,Run Rate-Canada,Required Run Rate-Canada
1,0.0,0.0,0.0
2,4.0,2.0,7.28
3,2.5,1.0,7.43
4,2.33,0.66,7.590000000000001
5,3.0,1.0,7.71
6,3.4,2.4,7.71
7,4.329999999999999,2.66,7.79
8,5.0,2.85,7.88
9,5.619999999999999,4.0,7.78
10,5.77,3.5500000000000003,7.97
11,5.3,4.0,7.97
12,6.09,3.72,8.15
13,6.579999999999999,4.16,8.13
14,6.53,3.9200000000000004,8.32
15,6.21,4.0,8.409999999999998
16,6.329999999999999,4.06,8.51
17,6.0,4.37,8.5
18,5.82,4.579999999999999,8.51
19,5.77,4.44,8.71
20,5.68,4.31,8.93
21,5.5,4.25,9.13
22,5.329999999999999,4.19,9.340000000000002
23,5.36,4.18,9.53
24,5.47,4.170000000000001,9.74
25,5.37,4.04,10.07
26,5.3999999999999995,4.240000000000001,10.12
27,5.259999999999999,4.259999999999999,10.33
28,5.329999999999999,4.3999999999999995,10.43
29,5.14,4.3500000000000005,10.769999999999998
30,5.13,4.31,11.14
31,5.03,4.5,11.200000000000001
32,5.0,4.54,11.47
33,5.0,4.46,12.0
34,5.21,4.6000000000000005,12.17
35,5.14,4.64,12.56
36,5.079999999999999,4.68,13.0
37,5.02,4.72,13.5
38,5.0,4.72,14.15
39,5.05,4.71,15.0
40,5.64,4.69,16.0
41,5.8999999999999995,4.6000000000000005,17.5
42,6.21,4.68,18.55
43,6.16,4.78,19.75
44,6.09,4.79,21.849999999999998
45,6.04,4.84,24.33
46,6.079999999999999,4.91,27.599999999999998
47,6.32,4.82,34.25
48,6.36,4.97,41.66
49,6.62,4.89,62.0
50,6.670000000000001,5.18,105.0
