Over,Run Rate-Australia,Run Rate-Zimbabwe,Required Run Rate-Zimbabwe
1,0.0,0.0,0.0
2,2.0,2.0,5.32
3,2.5,3.5,5.329999999999999
4,3.66,4.329999999999999,5.31
5,3.5,5.25,5.259999999999999
6,3.0,4.3999999999999995,5.3500000000000005
7,2.83,3.66,5.47
8,2.7100000000000004,3.4200000000000004,5.55
9,3.1200000000000006,3.75,5.54
10,3.0,3.77,5.579999999999999
11,2.8000000000000003,3.9,5.6000000000000005
12,2.5399999999999996,3.6299999999999994,5.71
13,2.58,3.66,5.759999999999999
14,2.4600000000000004,3.3799999999999994,5.91
15,3.5,3.85,5.8
16,3.53,3.8000000000000003,5.88
17,3.5,3.93,5.88
18,3.2899999999999996,3.7599999999999993,6.03
19,3.3299999999999996,4.0,5.96
20,3.2100000000000004,3.94,6.06
21,3.25,4.2,5.96
22,3.28,4.14,6.06
23,3.27,4.0,6.25
24,3.43,4.0,6.329999999999999
25,3.5799999999999996,3.9499999999999997,6.46
26,3.9200000000000004,3.84,6.68
27,3.8000000000000003,3.73,6.909999999999999
28,3.9600000000000004,3.81,6.95
29,4.25,3.75,7.18
30,4.44,3.75,7.329999999999999
31,4.43,3.6999999999999997,7.6000000000000005
32,4.509999999999999,3.77,7.68
33,4.3999999999999995,3.68,8.049999999999999
34,4.39,3.69,8.29
35,4.41,3.73,8.5
36,4.37,3.77,8.730000000000002
37,4.3,3.77,9.07
38,4.27,3.6999999999999997,9.69
39,4.28,3.7100000000000004,10.159999999999998
40,4.25,3.8700000000000006,10.18
41,4.3,3.8700000000000006,10.799999999999999
42,4.39,3.9200000000000004,11.33
43,4.420000000000001,3.9200000000000004,12.25
44,4.509999999999999,3.9,13.569999999999999
45,4.5,3.81,15.83
46,4.6000000000000005,3.73,19.0
47,4.69,3.71,23.0
48,4.8,,
49,5.02,,
50,5.18,,
