Over,Run Rate-Netherlands,Run Rate-England,Required Run Rate-England
1,0.0,0.0,0.0
2,7.0,12.0,5.73
3,6.0,8.5,5.75
4,5.66,7.329999999999999,5.759999999999999
5,4.25,8.0,5.670000000000001
6,4.2,6.8,5.75
7,5.66,6.329999999999999,5.79
8,5.8500000000000005,6.28,5.79
9,5.75,6.0,5.829999999999999
10,5.22,5.77,5.87
11,4.7,5.3,6.0
12,5.18,5.72,5.89
13,4.829999999999999,6.0,5.8100000000000005
14,4.53,6.38,5.670000000000001
15,4.28,6.07,5.77
16,4.329999999999999,6.130000000000001,5.740000000000001
17,4.37,6.18,5.7
18,4.64,5.88,5.84
19,4.55,5.829999999999999,5.87
20,4.63,5.68,5.96
21,4.5,5.6000000000000005,6.03
22,4.47,5.57,6.06
23,4.36,5.5,6.14
24,4.39,5.43,6.22
25,4.54,5.45,6.23
26,4.759999999999999,5.44,6.28
27,5.0,5.420000000000001,6.329999999999999
28,4.88,5.44,6.34
29,4.8500000000000005,5.670000000000001,6.09
30,4.72,5.68,6.09
31,4.73,5.6000000000000005,6.25
32,4.740000000000001,5.54,6.36
33,4.62,5.46,6.55
34,4.509999999999999,5.45,6.64
35,4.47,5.44,6.75
36,4.62,5.3999999999999995,6.93
37,4.61,5.47,6.8500000000000005
38,4.62,5.3999999999999995,7.1499999999999995
39,4.71,5.44,7.159999999999999
40,4.759999999999999,5.509999999999999,7.090000000000001
41,4.7,5.549999999999999,7.1000000000000005
42,4.8500000000000005,5.579999999999999,7.11
43,4.97,5.64,7.0
44,4.97,5.6000000000000005,7.420000000000001
45,5.11,5.6499999999999995,7.329999999999999
46,5.31,5.68,7.3999999999999995
47,5.5,5.6499999999999995,8.25
48,5.509999999999999,5.740000000000001,7.659999999999998
49,5.700000000000001,5.83,6.5
50,5.829999999999999,,
