Over,Run Rate-Pakistan,Run Rate-Kenya,Required Run Rate-Kenya
1,0.0,0.0,0.0
2,4.0,1.0,6.46
3,3.0,6.5,6.3500000000000005
4,2.0,5.66,6.3999999999999995
5,1.5,5.0,6.47
6,2.0,5.0,6.509999999999999
7,2.0,4.66,6.590000000000001
8,1.7100000000000002,4.420000000000001,6.670000000000001
9,2.25,4.5,6.71
10,2.66,4.11,6.8500000000000005
11,4.0,3.6999999999999997,7.019999999999998
12,4.0,3.5399999999999996,7.1499999999999995
13,4.0,3.5,7.259999999999999
14,4.0,3.69,7.29
15,4.14,3.4200000000000004,7.5
16,4.06,3.4,7.62
17,4.06,3.3700000000000006,7.759999999999999
18,4.05,3.41,7.87
19,4.27,3.3299999999999996,8.06
20,4.21,3.15,8.32
21,4.3500000000000005,3.1,8.53
22,4.28,3.14,8.68
23,4.36,3.31,8.75
24,4.39,3.2100000000000004,9.03
25,4.45,3.1200000000000006,9.340000000000002
26,4.3999999999999995,3.16,9.56
27,4.57,3.03,9.950000000000001
28,4.62,2.9199999999999995,10.39
29,4.6000000000000005,3.03,10.590000000000002
30,4.6499999999999995,3.0,11.0
31,4.66,3.1999999999999997,11.1
32,4.77,3.25,11.42
33,4.6499999999999995,3.5,11.44
34,4.6000000000000005,3.39,12.11
35,4.61,,
36,4.8500000000000005,,
37,4.910000000000001,,
38,5.02,,
39,5.07,,
40,5.1499999999999995,,
41,5.12,,
42,5.12,,
43,5.04,,
44,5.04,,
45,5.2,,
46,5.53,,
47,5.579999999999999,,
48,5.91,,
49,5.97,,
50,6.14,,
