Over,Run Rate-West Indies,Run Rate-South Africa,Required Run Rate-South Africa
1,0.0,0.0,0.0
2,3.0,1.0,4.53
3,7.0,4.0,4.47
4,5.329999999999999,5.0,4.420000000000001
5,4.0,4.0,4.5
6,4.3999999999999995,4.0,4.509999999999999
7,4.66,4.16,4.5
8,4.14,3.85,4.55
9,4.87,5.0,4.3500000000000005
10,4.66,5.0,4.34
11,4.3999999999999995,4.8999999999999995,4.3500000000000005
12,4.45,4.8999999999999995,4.329999999999999
13,4.829999999999999,5.16,4.23
14,4.759999999999999,5.07,4.240000000000001
15,4.57,4.920000000000001,4.27
16,4.8,4.86,4.28
17,5.18,4.68,4.3500000000000005
18,5.05,4.759999999999999,4.3
19,4.94,4.66,4.34
20,5.1000000000000005,4.73,4.29
21,5.1000000000000005,4.7,4.3
22,4.95,4.57,4.37
23,4.95,4.77,4.21
24,4.91,4.95,4.03
25,4.79,4.87,4.07
26,4.72,4.84,4.079999999999999
27,4.61,4.759999999999999,4.12
28,4.509999999999999,4.66,4.21
29,4.420000000000001,4.920000000000001,3.86
30,4.34,4.82,3.9499999999999997
31,4.3,4.8999999999999995,3.8000000000000003
32,4.509999999999999,5.06,3.47
33,4.46,5.18,3.16
34,4.6000000000000005,5.240000000000001,2.94
35,4.579999999999999,5.32,2.6200000000000006
36,4.48,5.28,2.53
37,4.63,5.36,2.14
38,4.72,5.29,2.07
39,4.71,5.23,2.0
40,4.64,5.25,1.6299999999999997
41,4.75,5.2,1.5
42,4.68,5.19,1.11
43,4.88,5.19,0.62
44,4.93,,
45,4.84,,
46,4.73,,
47,4.6499999999999995,,
48,4.68,,
49,,,
50,,,
