Over,Run Rate-New Zealand,Run Rate-Australia,Required Run Rate-Australia
1,0.0,0.0,0.0
2,0.0,9.0,4.04
3,4.5,6.0,4.06
4,3.329999999999999,6.0,4.02
5,5.25,6.75,3.91
6,5.0,6.799999999999999,3.84
7,4.16,6.16,3.86
8,4.57,5.57,3.8999999999999995
9,4.5,7.25,3.5399999999999996
10,4.44,7.44,3.41
11,4.8999999999999995,7.3999999999999995,3.32
12,4.45,7.269999999999999,3.25
13,4.75,6.829999999999999,3.2800000000000002
14,5.07,6.69,3.2400000000000007
15,4.71,7.14,2.9699999999999998
16,4.53,7.2,2.82
17,4.37,7.5600000000000005,2.52
18,4.29,7.519999999999999,2.39
19,4.05,7.380000000000001,2.31
20,4.1000000000000005,7.31,2.19
21,4.1499999999999995,7.049999999999999,2.1999999999999997
22,4.04,7.090000000000001,2.0
23,4.09,6.95,1.92
24,4.21,6.78,1.8799999999999994
25,4.16,6.62,1.84
26,4.0,6.36,1.92
27,4.03,6.1499999999999995,1.9499999999999997
28,4.0,6.18,1.7300000000000002
29,4.21,6.32,1.36
30,4.170000000000001,6.1000000000000005,1.42
31,4.16,5.96,1.4000000000000001
32,4.09,5.829999999999999,1.36
33,4.06,5.839999999999999,1.11
34,4.09,6.12,0.29
35,4.05,,
36,4.11,,
37,4.16,,
38,4.1000000000000005,,
39,4.1000000000000005,,
40,4.170000000000001,,
41,4.22,,
42,4.240000000000001,,
43,4.21,,
44,4.37,,
45,4.45,,
46,4.57,,
47,,,
48,,,
49,,,
50,,,
