Over,Run Rate-Bangladesh,Run Rate-Ireland,Required Run Rate-Ireland
1,0.0,0.0,0.0
2,10.0,6.0,4.079999999999999
3,10.0,4.5,4.1000000000000005
4,10.659999999999998,3.66,4.14
5,10.25,3.5,4.170000000000001
6,9.799999999999999,3.8000000000000003,4.1499999999999995
7,8.5,3.8299999999999996,4.1499999999999995
8,7.57,4.420000000000001,4.06
9,7.0,4.5,4.04
10,6.769999999999999,4.0,4.14
11,6.7,4.3999999999999995,4.05
12,6.18,4.18,4.1000000000000005
13,6.079999999999999,4.16,4.1000000000000005
14,6.0,4.07,4.13
15,5.71,4.14,4.11
16,5.73,4.13,4.11
17,5.37,3.93,4.2
18,5.23,4.0,4.18
19,4.94,4.16,4.09
20,4.84,4.05,4.16
21,4.8500000000000005,3.9,4.259999999999999
22,4.8999999999999995,3.85,4.31
23,4.77,3.77,4.39
24,4.6499999999999995,3.78,4.3999999999999995
25,4.54,3.8299999999999996,4.38
26,4.52,3.8000000000000003,4.44
27,4.5,3.84,4.41
28,4.44,4.03,4.21
29,4.46,3.9600000000000004,4.31
30,4.41,3.86,4.47
31,4.46,3.9,4.45
32,4.509999999999999,4.0,4.31
33,4.5,3.93,4.44
34,4.420000000000001,4.240000000000001,3.8799999999999994
35,4.32,4.23,3.8700000000000006
36,4.31,4.2,3.93
37,4.25,4.16,4.0
38,4.21,4.08,4.23
39,4.18,4.12,4.1000000000000005
40,4.28,4.12,4.09
41,4.170000000000001,4.2,3.8000000000000003
42,4.12,4.09,4.22
43,4.04,4.07,4.37
44,4.0,4.02,4.71
45,3.93,3.9699999999999998,5.160000000000001
46,3.97,,
47,4.02,,
48,4.04,,
49,4.02,,
50,4.16,,
