Match Number,Article Number,Mention Id,Mention Text,Linked Balls,sub_entity,label_detailed
1,501845,m1,India 370 for 4,1:49.6.0,LASTBALL,LASTBALL(India)
1,501845,m2,Sehwag 175,"1:0.1.0,1:0.2.0,1:0.3.0,1:0.4.0,1:0.5.0,1:0.6.0,1:1.5.0,1:1.6.0,1:3.1.0,1:3.3.0,1:4.2.0,1:4.3.0,1:4.4.0,1:4.5.0,1:4.6.0,1:5.1.0,1:5.1.1,1:5.2.0,1:5.3.0,1:5.4.0,1:5.6.0,1:6.1.0,1:6.3.0,1:6.4.0,1:6.4.1,1:6.5.0,1:6.6.0,1:7.1.0,1:7.2.0,1:7.4.0,1:7.5.0,1:7.6.0,1:9.3.0,1:9.5.0,1:9.6.0,1:9.6.1,1:10.1.0,1:10.2.0,1:10.3.0,1:11.1.0,1:11.2.0,1:12.1.0,1:12.2.0,1:12.6.0,1:13.1.0,1:13.3.0,1:13.5.0,1:14.1.0,1:14.2.0,1:14.4.0,1:14.5.0,1:14.6.0,1:15.2.0,1:15.6.0,1:16.2.0,1:16.3.0,1:16.5.0,1:17.1.0,1:17.2.0,1:17.5.0,1:17.6.0,1:18.2.0,1:18.4.0,1:19.3.0,1:19.5.0,1:20.2.0,1:20.6.0,1:21.1.0,1:21.2.0,1:21.4.0,1:21.6.0,1:22.3.0,1:22.5.0,1:22.6.0,1:23.1.0,1:23.6.0,1:24.3.0,1:24.4.0,1:24.5.0,1:24.6.0,1:25.2.0,1:26.4.0,1:26.5.0,1:27.1.0,1:27.3.0,1:28.1.0,1:28.4.0,1:28.6.0,1:28.6.1,1:29.1.0,1:29.2.0,1:29.3.0,1:29.4.0,1:29.5.0,1:29.5.1,1:30.1.0,1:30.3.0,1:30.4.0,1:31.2.0,1:31.4.0,1:32.3.0,1:33.1.0,1:33.2.0,1:33.6.0,1:34.1.0,1:34.2.0,1:34.6.1,1:34.6.2,1:35.3.0,1:35.4.0,1:35.6.0,1:36.2.0,1:36.3.0,1:36.4.0,1:36.5.0,1:36.6.0,1:37.1.0,1:37.2.0,1:37.4.0,1:38.3.0,1:38.5.0,1:38.6.0,1:39.2.0,1:39.6.0,1:40.1.0,1:40.2.0,1:40.3.0,1:40.6.0,1:41.1.0,1:41.2.0,1:41.3.0,1:42.4.0,1:42.6.0,1:43.2.0,1:43.3.0,1:44.2.0,1:44.4.0,1:44.5.0,1:44.6.0,1:45.1.0,1:45.1.1,1:45.1.2,1:45.2.0,1:45.3.0,1:46.1.0,1:46.4.0,1:46.6.0,1:46.6.1,1:47.3.0,",BAT,BAT(Sehwag)
1,501845,m3,Kohli 100*,"1:23.3.0,1:23.4.0,1:23.5.0,1:24.1.0,1:24.2.0,1:25.1.0,1:25.3.0,1:25.4.0,1:25.5.0,1:25.5.1,1:25.6.0,1:26.1.0,1:26.2.0,1:26.3.0,1:26.6.0,1:27.2.0,1:27.4.0,1:27.4.1,1:27.5.0,1:27.6.0,1:28.2.0,1:28.3.0,1:28.5.0,1:29.6.0,1:30.2.0,1:30.5.0,1:30.6.0,1:31.1.0,1:31.3.0,1:31.5.0,1:31.6.0,1:32.1.0,1:32.2.0,1:32.4.0,1:32.5.0,1:32.6.0,1:33.3.0,1:33.4.0,1:33.5.0,1:34.3.0,1:34.4.0,1:34.5.0,1:34.6.0,1:35.1.0,1:35.2.0,1:35.5.0,1:36.1.0,1:37.3.0,1:37.5.0,1:37.6.0,1:38.1.0,1:38.2.0,1:38.4.0,1:39.1.0,1:39.3.0,1:39.4.0,1:39.5.0,1:40.4.0,1:40.5.0,1:41.4.0,1:41.5.0,1:41.6.0,1:42.1.0,1:42.2.0,1:42.3.0,1:42.5.0,1:43.1.0,1:43.4.0,1:43.5.0,1:43.6.0,1:44.1.0,1:44.3.0,1:45.4.0,1:45.5.0,1:45.6.0,1:46.2.0,1:46.3.0,1:46.5.0,1:46.5.1,1:47.1.0,1:47.2.0,1:48.1.0,1:48.2.0,1:48.4.0,1:49.1.0,1:49.5.0,",BAT,BAT(Kohli)
1,501845,m4,Bangladesh 283 for 9,2:49.6.0,LASTBALL,LASTBALL(Bangladesh)
1,501845,m5,Tamim 70,"2:0.1.0,2:0.2.0,2:0.3.0,2:0.4.0,2:0.5.0,2:0.6.0,2:1.6.0,2:3.1.0,2:3.1.1,2:3.2.0,2:4.1.0,2:6.1.0,2:6.2.0,2:6.3.0,2:7.1.0,2:7.2.0,2:7.3.0,2:7.4.0,2:7.6.0,2:9.1.0,2:9.2.0,2:9.5.0,2:9.6.0,2:10.2.0,2:10.3.0,2:10.4.0,2:10.5.0,2:10.6.0,2:11.4.0,2:11.5.0,2:12.1.0,2:12.3.0,2:12.4.0,2:13.1.0,2:13.2.0,2:14.2.0,2:14.3.0,2:14.4.0,2:14.5.0,2:14.6.0,2:15.2.0,2:15.5.0,2:16.2.0,2:16.4.0,2:16.5.0,2:17.3.0,2:18.3.0,2:18.3.1,2:18.3.2,2:18.6.0,2:19.1.0,2:19.2.0,2:19.3.0,2:19.5.0,2:20.2.0,2:20.3.0,2:20.4.0,2:20.6.0,2:21.6.0,2:22.1.0,2:22.3.0,2:22.5.0,2:23.5.0,2:23.6.0,2:25.2.0,2:25.3.0,2:25.5.0,2:26.1.0,2:26.5.0,2:26.6.0,2:27.2.0,2:27.3.0,2:27.4.0,2:27.6.0,2:28.1.0,2:28.2.0,2:28.4.0,2:28.6.0,2:29.2.0,2:29.5.0,2:30.1.0,2:30.5.0,2:30.6.0,2:31.1.0,2:31.2.0,2:31.3.0,2:31.4.0,2:31.6.0,2:32.1.0,",BAT,BAT(Tamim)
1,501845,m6,Shakib 55,"2:23.2.0,2:23.3.0,2:23.4.0,2:24.1.0,2:24.2.0,2:24.3.0,2:24.4.0,2:24.5.0,2:24.6.0,2:25.1.0,2:25.4.0,2:25.6.0,2:26.2.0,2:26.3.0,2:26.4.0,2:27.1.0,2:27.5.0,2:28.3.0,2:28.5.0,2:29.1.0,2:29.3.0,2:29.4.0,2:29.6.0,2:30.2.0,2:30.2.1,2:30.3.0,2:30.4.0,2:31.5.0,2:32.4.0,2:33.1.0,2:33.1.1,2:33.3.0,2:33.4.0,2:34.1.0,2:34.2.0,2:34.3.0,2:34.4.0,2:34.5.0,2:35.1.0,2:35.1.1,2:35.2.0,2:35.3.0,2:35.5.0,2:36.1.0,2:36.5.0,2:37.3.0,2:37.4.0,2:38.2.0,2:38.3.0,2:38.5.0,2:39.1.0,2:39.2.0,2:39.4.0,",BAT,BAT(Shakib)
1,501845,m7,Munaf 4-48,"2:6.1.0,2:6.2.0,2:6.3.0,2:6.4.0,2:6.5.0,2:6.6.0,2:8.1.0,2:8.2.0,2:8.3.0,2:8.4.0,2:8.5.0,2:8.6.0,2:10.1.0,2:10.2.0,2:10.3.0,2:10.4.0,2:10.5.0,2:10.6.0,2:12.1.0,2:12.2.0,2:12.3.0,2:12.4.0,2:12.5.0,2:12.6.0,2:14.1.0,2:14.2.0,2:14.3.0,2:14.4.0,2:14.5.0,2:14.6.0,2:32.1.0,2:32.2.0,2:32.3.0,2:32.4.0,2:32.5.0,2:32.6.0,2:34.1.0,2:34.2.0,2:34.3.0,2:34.4.0,2:34.5.0,2:34.6.0,2:44.1.0,2:44.2.0,2:44.3.0,2:44.4.0,2:44.5.0,2:44.6.0,2:46.1.0,2:46.2.0,2:46.3.0,2:46.4.0,2:46.5.0,2:46.6.0,2:48.1.0,2:48.2.0,2:48.3.0,2:48.4.0,2:48.5.0,2:48.6.0,",BOWL,BOWL(Munaf)
1,501845,m8,Virat Kohli reached his hundred off the penultimate ball of the Indian innings,1:49.5.0,BALL,"BALL(Kohli, SCORE, 100, ?)"
1,501845,m9,Shakib Al Hasan's men failed to maintain their composure in the grandest match of their lives and conceded a total beyond the reach of their batting abilities.,"1:0.1.0,1:0.2.0,1:0.3.0,1:0.4.0,1:0.5.0,1:0.6.0,1:1.1.0,1:1.2.0,1:1.3.0,1:1.4.0,1:1.4.1,1:1.5.0,1:1.6.0,1:2.1.0,1:2.2.0,1:2.3.0,1:2.4.0,1:2.5.0,1:2.6.0,1:3.1.0,1:3.2.0,1:3.3.0,1:3.4.0,1:3.5.0,1:3.6.0,1:4.1.0,1:4.2.0,1:4.3.0,1:4.4.0,1:4.5.0,1:4.6.0,1:5.1.0,1:5.1.1,1:5.2.0,1:5.3.0,1:5.4.0,1:5.5.0,1:5.6.0,1:6.1.0,1:6.2.0,1:6.3.0,1:6.4.0,1:6.4.1,1:6.5.0,1:6.6.0,1:7.1.0,1:7.2.0,1:7.3.0,1:7.4.0,1:7.5.0,1:7.6.0,1:8.1.0,1:8.2.0,1:8.3.0,1:8.4.0,1:8.5.0,1:8.6.0,1:9.1.0,1:9.2.0,1:9.3.0,1:9.4.0,1:9.5.0,1:9.6.0,1:9.6.1,1:10.1.0,1:10.2.0,1:10.3.0,1:10.4.0,1:10.5.0,1:10.6.0,1:11.1.0,1:11.2.0,1:11.3.0,1:11.4.0,1:11.5.0,1:11.6.0,1:12.1.0,1:12.2.0,1:12.3.0,1:12.4.0,1:12.5.0,1:12.6.0,1:13.1.0,1:13.2.0,1:13.3.0,1:13.4.0,1:13.5.0,1:13.6.0,1:14.1.0,1:14.2.0,1:14.3.0,1:14.4.0,1:14.5.0,1:14.6.0,1:15.1.0,1:15.2.0,1:15.3.0,1:15.4.0,1:15.5.0,1:15.6.0,1:16.1.0,1:16.2.0,1:16.3.0,1:16.4.0,1:16.5.0,1:16.6.0,1:17.1.0,1:17.2.0,1:17.3.0,1:17.4.0,1:17.5.0,1:17.6.0,1:18.1.0,1:18.2.0,1:18.3.0,1:18.4.0,1:18.5.0,1:18.6.0,1:19.1.0,1:19.2.0,1:19.3.0,1:19.4.0,1:19.5.0,1:19.6.0,1:20.1.0,1:20.2.0,1:20.3.0,1:20.4.0,1:20.5.0,1:20.6.0,1:21.1.0,1:21.2.0,1:21.3.0,1:21.4.0,1:21.5.0,1:21.6.0,1:22.1.0,1:22.2.0,1:22.3.0,1:22.4.0,1:22.5.0,1:22.6.0,1:23.1.0,1:23.2.0,1:23.3.0,1:23.4.0,1:23.5.0,1:23.6.0,1:24.1.0,1:24.2.0,1:24.3.0,1:24.4.0,1:24.5.0,1:24.6.0,1:25.1.0,1:25.2.0,1:25.3.0,1:25.4.0,1:25.5.0,1:25.5.1,1:25.6.0,1:26.1.0,1:26.2.0,1:26.3.0,1:26.4.0,1:26.5.0,1:26.6.0,1:27.1.0,1:27.2.0,1:27.3.0,1:27.4.0,1:27.4.1,1:27.5.0,1:27.6.0,1:28.1.0,1:28.2.0,1:28.3.0,1:28.4.0,1:28.5.0,1:28.6.0,1:28.6.1,1:29.1.0,1:29.2.0,1:29.3.0,1:29.4.0,1:29.5.0,1:29.5.1,1:29.6.0,1:30.1.0,1:30.2.0,1:30.3.0,1:30.4.0,1:30.5.0,1:30.6.0,1:31.1.0,1:31.2.0,1:31.3.0,1:31.4.0,1:31.5.0,1:31.6.0,1:32.1.0,1:32.2.0,1:32.3.0,1:32.4.0,1:32.5.0,1:32.6.0,1:33.1.0,1:33.2.0,1:33.3.0,1:33.4.0,1:33.5.0,1:33.6.0,1:34.1.0,1:34.2.0,1:34.3.0,1:34.4.0,1:34.5.0,1:34.6.0,1:34.6.1,1:34.6.2,1:35.1.0,1:35.2.0,1:35.3.0,1:35.4.0,1:35.5.0,1:35.6.0,1:36.1.0,1:36.2.0,1:36.3.0,1:36.4.0,1:36.5.0,1:36.6.0,1:37.1.0,1:37.2.0,1:37.3.0,1:37.4.0,1:37.5.0,1:37.6.0,1:38.1.0,1:38.2.0,1:38.3.0,1:38.4.0,1:38.5.0,1:38.6.0,1:39.1.0,1:39.2.0,1:39.3.0,1:39.4.0,1:39.5.0,1:39.6.0,1:40.1.0,1:40.2.0,1:40.3.0,1:40.4.0,1:40.5.0,1:40.6.0,1:41.1.0,1:41.2.0,1:41.3.0,1:41.4.0,1:41.5.0,1:41.6.0,1:42.1.0,1:42.2.0,1:42.3.0,1:42.4.0,1:42.5.0,1:42.6.0,1:43.1.0,1:43.2.0,1:43.3.0,1:43.4.0,1:43.5.0,1:43.6.0,1:44.1.0,1:44.2.0,1:44.3.0,1:44.4.0,1:44.5.0,1:44.6.0,1:45.1.0,1:45.1.1,1:45.1.2,1:45.2.0,1:45.3.0,1:45.4.0,1:45.5.0,1:45.6.0,1:46.1.0,1:46.2.0,1:46.3.0,1:46.4.0,1:46.5.0,1:46.5.1,1:46.6.0,1:46.6.1,1:47.1.0,1:47.2.0,1:47.3.0,1:47.4.0,1:47.5.0,1:47.5.1,1:47.6.0,1:48.1.0,1:48.2.0,1:48.3.0,1:48.4.0,1:48.5.0,1:48.6.0,1:49.1.0,1:49.2.0,1:49.3.0,1:49.4.0,1:49.5.0,1:49.6.0,",OVERS,OVERS(India)
1,501845,m10,"Sehwag and Kohli, who justified his captain's decision to leave out Suresh Raina, dismantled the attack in front of a shell-shocked crowd and powered India to 370","1:23.3.0,1:23.4.0,1:23.5.0,1:23.6.0,1:24.1.0,1:24.2.0,1:24.3.0,1:24.4.0,1:24.5.0,1:24.6.0,1:25.1.0,1:25.2.0,1:25.3.0,1:25.4.0,1:25.5.0,1:25.5.1,1:25.6.0,1:26.1.0,1:26.2.0,1:26.3.0,1:26.4.0,1:26.5.0,1:26.6.0,1:27.1.0,1:27.2.0,1:27.3.0,1:27.4.0,1:27.4.1,1:27.5.0,1:27.6.0,1:28.1.0,1:28.2.0,1:28.3.0,1:28.4.0,1:28.5.0,1:28.6.0,1:28.6.1,1:29.1.0,1:29.2.0,1:29.3.0,1:29.4.0,1:29.5.0,1:29.5.1,1:29.6.0,1:30.1.0,1:30.2.0,1:30.3.0,1:30.4.0,1:30.5.0,1:30.6.0,1:31.1.0,1:31.2.0,1:31.3.0,1:31.4.0,1:31.5.0,1:31.6.0,1:32.1.0,1:32.2.0,1:32.3.0,1:32.4.0,1:32.5.0,1:32.6.0,1:33.1.0,1:33.2.0,1:33.3.0,1:33.4.0,1:33.5.0,1:33.6.0,1:34.1.0,1:34.2.0,1:34.3.0,1:34.4.0,1:34.5.0,1:34.6.0,1:34.6.1,1:34.6.2,1:35.1.0,1:35.2.0,1:35.3.0,1:35.4.0,1:35.5.0,1:35.6.0,1:36.1.0,1:36.2.0,1:36.3.0,1:36.4.0,1:36.5.0,1:36.6.0,1:37.1.0,1:37.2.0,1:37.3.0,1:37.4.0,1:37.5.0,1:37.6.0,1:38.1.0,1:38.2.0,1:38.3.0,1:38.4.0,1:38.5.0,1:38.6.0,1:39.1.0,1:39.2.0,1:39.3.0,1:39.4.0,1:39.5.0,1:39.6.0,1:40.1.0,1:40.2.0,1:40.3.0,1:40.4.0,1:40.5.0,1:40.6.0,1:41.1.0,1:41.2.0,1:41.3.0,1:41.4.0,1:41.5.0,1:41.6.0,1:42.1.0,1:42.2.0,1:42.3.0,1:42.4.0,1:42.5.0,1:42.6.0,1:43.1.0,1:43.2.0,1:43.3.0,1:43.4.0,1:43.5.0,1:43.6.0,1:44.1.0,1:44.2.0,1:44.3.0,1:44.4.0,1:44.5.0,1:44.6.0,1:45.1.0,1:45.1.1,1:45.1.2,1:45.2.0,1:45.3.0,1:45.4.0,1:45.5.0,1:45.6.0,1:46.1.0,1:46.2.0,1:46.3.0,1:46.4.0,1:46.5.0,1:46.5.1,1:46.6.0,1:46.6.1,1:47.1.0,1:47.2.0,1:47.3.0,",PARTNERSHIP,"PARTNERSHIP(Sehwag, Kohli)"
